ChangeBall,145,400,60,60,0,0
ChangeBall,295,400,60,60,0,0
ChangeBall,445,400,60,60,0,0
ChangeBall,595,400,60,60,0,0
ColorBall,295,300,60,60,0,1
ColorBall,445,200,60,60,0,2
ColorBall,595,100,60,60,0,1
ColorBall,145,0,60,60,0,2
ColorBall,445,0,60,60,0,2
ColorBall,145,-100,60,60,0,1
ColorBall,295,-100,60,60,0,2
ChangeBall,445,-200,60,60,0,0
ChangeBall,595,-200,60,60,0,0
ColorBall,295,-300,60,60,0,2
ColorBall,595,-400,60,60,0,2
ColorBall,295,-500,60,60,0,1
ColorBall,445,-600,60,60,0,1
ColorBall,295,-700,60,60,0,2
ColorBall,445,-800,60,60,0,2
ColorBall,595,-900,60,60,0,1
ColorBall,145,-1000,60,60,0,1
ChangeBall,445,-1100,60,60,0,0
ColorBall,595,-1200,60,60,0,1
ColorBall,295,-1300,60,60,0,2
ColorBall,445,-1400,60,60,0,1
ColorBall,145,-1400,60,60,0,2
ColorBall,145,-1500,60,60,0,1
ColorBall,445,-1600,60,60,0,2
ColorBall,295,-1700,60,60,0,2
ColorBall,595,-1700,60,60,0,1
ColorBall,445,-1700,60,60,0,2
ColorBall,595,-1800,60,60,0,2
ColorBall,445,-1800,60,60,0,1
ColorBall,295,-1800,60,60,0,1
ColorBall,595,-1900,60,60,0,1
ColorBall,445,-1900,60,60,0,2
ColorBall,145,-1900,60,60,0,1
ColorBall,295,-1900,60,60,0,2
ColorBall,595,-2000,60,60,0,2
ColorBall,445,-2000,60,60,0,1
ColorBall,295,-2000,60,60,0,1
ColorBall,295,-2100,60,60,0,1
ColorBall,295,-2200,60,60,0,1
ColorBall,595,-2300,60,60,0,2
ColorBall,145,-2400,60,60,0,1
ColorBall,445,-2500,60,60,0,1
ColorBall,145,-2600,60,60,0,2
AddBlood,595,-2700,60,60,0,17
ColorBall,595,-2800,60,60,0,1
ColorBall,445,-2800,60,60,0,2
ChangeBall,145,-2800,60,60,0,0
ColorBall,295,-2900,60,60,0,1
ColorBall,445,-3000,60,60,0,2
Thunder,445,-3100,60,60,0,18
ChangeBall,595,-3100,60,60,0,0
ColorBall,145,-3200,60,60,0,1
ColorBall,595,-3300,60,60,0,1
ColorBall,145,-3400,60,60,0,2
ColorBall,595,-3500,60,60,0,1
ColorBall,445,-3500,60,60,0,2
ColorBall,145,-3500,60,60,0,2
ColorBall,145,-3600,60,60,0,1
ColorBall,595,-3700,60,60,0,2
ColorBall,295,-3700,60,60,0,2
ColorBall,295,-3800,60,60,0,1
ColorBall,445,-3900,60,60,0,2
ColorBall,445,-4000,60,60,0,2
